2016-08-19 00:50:13 status half-installed libdb5.3:amd64 5.3.28-11
2016-08-19 00:50:13 status unpacked libdb5.3:amd64 5.3.28-11
2016-08-19 00:50:13 status unpacked libdb5.3:amd64 5.3.28-11
2016-08-19 00:50:13 install libdebconfclient0:amd64 <none> 0.198ubuntu1
2016-08-19 00:50:13 status half-installed libdebconfclient0:amd64 0.198ubuntu1
2016-08-19 00:50:13 status unpacked libdebconfclient0:amd64 0.198ubuntu1
2016-08-19 00:50:13 status unpacked libdebconfclient0:amd64 0.198ubuntu1
2016-08-19 00:50:13 install libdevmapper1.02.1:amd64 <none> 2:1.02.110-1ubuntu10
2016-08-19 00:50:13 status half-installed libdevmapper1.02.1:amd64 2:1.02.110-1ubuntu10
2016-08-19 00:50:13 status unpacked libdevmapper1.02.1:amd64 2:1.02.110-1ubuntu10
2016-08-19 00:50:13 status unpacked libdevmapper1.02.1:amd64 2:1.02.110-1ubuntu10
2016-08-19 00:50:13 install libfdisk1:amd64 <none> 2.27.1-6ubuntu3
2016-08-19 00:50:13 status half-installed libfdisk1:amd64 2.27.1-6ubuntu3
2016-08-19 00:50:13 status unpacked libfdisk1:amd64 2.27.1-6ubuntu3
2016-08-19 00:50:13 status unpacked libfdisk1:amd64 2.27.1-6ubuntu3
2016-08-19 00:50:13 install libgcc1:amd64 <none> 1:6.0.1-0ubuntu1
2016-08-19 00:50:13 status half-installed libgcc1:amd64 1:6.0.1-0ubuntu1
2016-08-19 00:50:13 status unpacked libgcc1:amd64 1:6.0.1-0ubuntu1
2016-08-19 00:50:13 status unpacked libgcc1:amd64 1:6.0.1-0ubuntu1
2016-08-19 00:50:13 install libgcrypt20:amd64 <none> 1.6.5-2
2016-08-19 00:50:13 status half-installed libgcrypt20:amd64 1.6.5-2
2016-08-19 00:50:14 status unpacked libgcrypt20:amd64 1.6.5-2
2016-08-19 00:50:14 status unpacked libgcrypt20:amd64 1.6.5-2
2016-08-19 00:50:14 install libgpg-error0:amd64 <none> 1.21-2ubuntu1
2016-08-19 00:50:14 status half-installed libgpg-error0:amd64 1.21-2ubuntu1
2016-08-19 00:50:14 status unpacked libgpg-error0:amd64 1.21-2ubuntu1
2016-08-19 00:50:14 status unpacked libgpg-error0:amd64 1.21-2ubuntu1
2016-08-19 00:50:14 install libkmod2:amd64 <none> 22-1ubuntu4
2016-08-19 00:50:14 status half-installed libkmod2:amd64 22-1ubuntu4
2016-08-19 00:50:14 status unpacked libkmod2:amd64 22-1ubuntu4
2016-08-19 00:50:14 status unpacked libkmod2:amd64 22-1ubuntu4
2016-08-19 00:50:14 install liblzma5:amd64 <none> 5.1.1alpha+20120614-2ubuntu2
2016-08-19 00:50:14 status half-installed liblzma5:amd64 5.1.1alpha+20120614-2ubuntu2
2016-08-19 00:50:14 status unpacked liblzma5:amd64 5.1.1alpha+20120614-2ubuntu2
2016-08-19 00:50:14 status unpacked liblzma5:amd64 5.1.1alpha+20120614-2ubuntu2
2016-08-19 00:50:14 install libmount1:amd64 <none> 2.27.1-6ubuntu3
2016-08-19 00:50:14 status half-installed libmount1:amd64 2.27.1-6ubuntu3
2016-08-19 00:50:14 status unpacked libmount1:amd64 2.27.1-6ubuntu3
2016-08-19 00:50:14 status unpacked libmount1:amd64 2.27.1-6ubuntu3
2016-08-19 00:50:14 install libncurses5:amd64 <none> 6.0+20160213-1ubuntu1
2016-08-19 00:50:14 status half-installed libncurses5:amd64 6.0+20160213-1ubuntu1
2016-08-19 00:50:14 status unpacked libncurses5:amd64 6.0+20160213-1ubuntu1
2016-08-19 00:50:14 status unpacked libncurses5:amd64 6.0+20160213-1ubuntu1
2016-08-19 00:50:14 install libncursesw5:amd64 <none> 6.0+20160213-1ubuntu1
2016-08-19 00:50:14 status half-installed libncursesw5:amd64 6.0+20160213-1ubuntu1
2016-08-19 00:50:14 status unpacked libncursesw5:amd64 6.0+20160213-1ubuntu1
2016-08-19 00:50:14 status unpacked libncursesw5:amd64 6.0+20160213-1ubuntu1
2016-08-19 00:50:14 install libpam-modules:amd64 <none> 1.1.8-3.2ubuntu2
2016-08-19 00:50:14 status half-installed libpam-modules:amd64 1.1.8-3.2ubuntu2
2016-08-19 00:50:14 status unpacked libpam-modules:amd64 1.1.8-3.2ubuntu2
2016-08-19 00:50:14 status unpacked libpam-modules:amd64 1.1.8-3.2ubuntu2
2016-08-19 00:50:14 install libpam-modules-bin:amd64 <none> 1.1.8-3.2ubuntu2
2016-08-19 00:50:14 status half-installed libpam-modules-bin:amd64 1.1.8-3.2ubuntu2
2016-08-19 00:50:14 status unpacked libpam-modules-bin:amd64 1.1.8-3.2ubuntu2
2016-08-19 00:50:14 status unpacked libpam-modules-bin:amd64 1.1.8-3.2ubuntu2
2016-08-19 00:50:14 install libpam-runtime:all <none> 1.1.8-3.2ubuntu2
2016-08-19 00:50:14 status half-installed libpam-runtime:all 1.1.8-3.2ubuntu2
2016-08-19 00:50:14 status unpacked libpam-runtime:all 1.1.8-3.2ubuntu2
2016-08-19 00:50:14 status unpacked libpam-runtime:all 1.1.8-3.2ubuntu2
2016-08-19 00:50:14 install libpam0g:amd64 <none> 1.1.8-3.2ubuntu2
2016-08-19 00:50:14 status half-installed libpam0g:amd64 1.1.8-3.2ubuntu2
2016-08-19 00:50:14 status unpacked libpam0g:amd64 1.1.8-3.2ubuntu2
2016-08-19 00:50:14 status unpacked libpam0g:amd64 1.1.8-3.2ubuntu2
2016-08-19 00:50:14 install libpcre3:amd64 <none> 2:8.38-3.1
2016-08-19 00:50:14 status half-installed libpcre3:amd64 2:8.38-3.1
2016-08-19 00:50:14 status unpacked libpcre3:amd64 2:8.38-3.1
2016-08-19 00:50:14 status unpacked libpcre3:amd64 2:8.38-3.1
2016-08-19 00:50:14 install libprocps4:amd64 <none> 2:3.3.10-4ubuntu2
2016-08-19 00:50:14 status half-installed libprocps4:amd64 2:3.3.10-4ubuntu2
2016-08-19 00:50:14 status unpacked libprocps4:amd64 2:3.3.10-4ubuntu2
2016-08-19 00:50:14 status unpacked libprocps4:amd64 2:3.3.10-4ubuntu2
2016-08-19 00:50:14 install libseccomp2:amd64 <none> 2.2.3-3ubuntu3
2016-08-19 00:50:14 status half-installed libseccomp2:amd64 2.2.3-3ubuntu3
2016-08-19 00:50:14 status unpacked libseccomp2:amd64 2.2.3-3ubuntu3
2016-08-19 00:50:14 status unpacked libseccomp2:amd64 2.2.3-3ubuntu3
2016-08-19 00:50:14 install libselinux1:amd64 <none> 2.4-3build2
2016-08-19 00:50:14 status half-installed libselinux1:amd64 2.4-3build2
2016-08-19 00:50:14 status unpacked libselinux1:amd64 2.4-3build2
2016-08-19 00:50:14 status unpacked libselinux1:amd64 2.4-3build2
2016-08-19 00:50:14 install libsemanage-common:all <none> 2.3-1build3
2016-08-19 00:50:14 status half-installed libsemanage-common:all 2.3-1build3
2016-08-19 00:50:14 status unpacked libsemanage-common:all 2.3-1build3
2016-08-19 00:50:14 status unpacked libsemanage-common:all 2.3-1build3
2016-08-19 00:50:14 install libsemanage1:amd64 <none> 2.3-1build3
2016-08-19 00:50:14 status half-installed libsemanage1:amd64 2.3-1build3
2016-08-19 00:50:14 status unpacked libsemanage1:amd64 2.3-1build3
2016-08-19 00:50:14 status unpacked libsemanage1:amd64 2.3-1build3
2016-08-19 00:50:14 install libsepol1:amd64 <none> 2.4-2
2016-08-19 00:50:14 status half-installed libsepol1:amd64 2.4-2
2016-08-19 00:50:14 status unpacked libsepol1:amd64 2.4-2
2016-08-19 00:50:14 status unpacked libsepol1:amd64 2.4-2
2016-08-19 00:50:14 install libsmartcols1:amd64 <none> 2.27.1-6ubuntu3
2016-08-19 00:50:14 status half-installed libsmartcols1:amd64 2.27.1-6ubuntu3
